UTC;command
2025-05-29 12:32:50.579406+00:00;1
2025-05-29 12:33:52.793230+00:00;1
2025-05-29 12:34:54.861353+00:00;1
2025-05-29 12:35:57.029031+00:00;1
2025-05-29 12:36:59.170108+00:00;1
2025-05-29 12:38:01.220073+00:00;1
2025-05-29 12:39:03.395414+00:00;1
2025-05-29 12:40:05.522040+00:00;1
2025-05-29 12:41:12.962000+00:00;0
2025-05-29 12:41:12.963002+00:00;0
2025-05-29 12:42:15.124477+00:00;0
2025-05-29 12:43:17.235073+00:00;0
2025-05-29 12:44:19.443226+00:00;0
2025-05-29 12:45:26.805159+00:00;2
2025-05-29 12:45:26.805159+00:00;2
2025-05-29 12:46:28.839743+00:00;1
2025-05-29 12:47:31.067453+00:00;1
2025-05-29 12:48:33.214617+00:00;1
2025-05-29 12:49:35.367892+00:00;1
2025-05-29 12:50:42.803896+00:00;0
2025-05-29 12:50:42.803896+00:00;0
2025-05-29 12:51:44.868201+00:00;0
2025-05-29 12:52:47.046230+00:00;0
2025-05-29 12:53:49.184105+00:00;0
2025-05-29 12:54:51.333110+00:00;0
2025-05-29 12:55:53.514219+00:00;0
2025-05-29 12:56:55.697414+00:00;0
2025-05-29 12:57:57.958682+00:00;0
2025-05-29 12:59:00.060661+00:00;0
2025-05-29 13:00:07.286478+00:00;2
2025-05-29 13:00:07.286478+00:00;2
2025-05-29 13:01:09.417380+00:00;1
2025-05-29 13:02:11.550022+00:00;1
2025-05-29 13:03:13.626534+00:00;2
2025-05-29 13:04:21.071277+00:00;0
2025-05-29 13:04:21.072323+00:00;0
2025-05-29 13:05:23.162298+00:00;0
2025-05-29 13:06:25.377400+00:00;0
2025-05-29 13:07:27.494301+00:00;0
2025-05-29 13:08:29.552911+00:00;0
2025-05-29 13:09:31.768266+00:00;0
2025-05-29 13:10:39.038757+00:00;-2
2025-05-29 13:10:39.038757+00:00;-2
2025-05-29 13:11:46.373496+00:00;0
2025-05-29 13:11:46.374438+00:00;0
2025-05-29 13:12:48.466633+00:00;0
2025-05-29 13:13:55.735421+00:00;-2
2025-05-29 13:13:55.735421+00:00;-2
2025-05-29 13:14:57.905796+00:00;-1
2025-05-29 13:16:00.061427+00:00;-1
2025-05-29 13:17:02.144040+00:00;-1
2025-05-29 13:18:09.583130+00:00;0
2025-05-29 13:18:09.583130+00:00;0
2025-05-29 13:19:11.773780+00:00;0
2025-05-29 13:20:13.930119+00:00;0
2025-05-29 13:21:16.078136+00:00;0
2025-05-29 13:22:18.212662+00:00;0
2025-05-29 13:23:20.361515+00:00;0
2025-05-29 13:24:28.021994+00:00;2
2025-05-29 13:24:28.022992+00:00;2
2025-05-29 13:25:30.904069+00:00;1
2025-05-29 13:26:33.087114+00:00;1
2025-05-29 13:27:35.254587+00:00;1
2025-05-29 13:28:37.403307+00:00;1
2025-05-29 13:29:39.588457+00:00;1
2025-05-29 13:30:41.686070+00:00;1
2025-05-29 13:31:43.888163+00:00;1
2025-05-29 13:32:46.341447+00:00;1
2025-05-29 13:33:48.527744+00:00;1
2025-05-29 13:34:50.689263+00:00;1
2025-05-29 13:35:52.830400+00:00;1
2025-05-29 13:36:55.021047+00:00;2
2025-05-29 13:38:02.424524+00:00;0
2025-05-29 13:38:02.424524+00:00;0
2025-05-29 13:39:04.509366+00:00;0
2025-05-29 13:40:06.715400+00:00;0
2025-05-29 13:41:08.841825+00:00;0
2025-05-29 13:42:11.030179+00:00;0
2025-05-29 13:43:13.100304+00:00;0
2025-05-29 13:44:20.420588+00:00;-2
2025-05-29 13:44:20.420588+00:00;-2
2025-05-29 13:45:22.643869+00:00;-1
2025-05-29 13:46:24.826876+00:00;-1
2025-05-29 13:47:27.075318+00:00;-1
2025-05-29 13:48:29.207315+00:00;-1
2025-05-29 13:49:31.349467+00:00;-2
2025-05-29 13:50:38.714255+00:00;0
2025-05-29 13:50:38.715256+00:00;0
2025-05-29 13:51:40.833657+00:00;0
2025-05-29 13:52:42.989538+00:00;0
2025-05-29 13:53:45.157027+00:00;0
2025-05-29 13:54:47.274295+00:00;0
2025-05-29 13:55:49.466179+00:00;0
2025-05-29 13:56:56.808522+00:00;2
2025-05-29 13:56:56.808522+00:00;2
2025-05-29 13:57:59.029139+00:00;2
2025-05-29 13:59:06.419402+00:00;0
2025-05-29 13:59:06.420403+00:00;0
2025-05-29 14:00:08.633371+00:00;0
2025-05-29 14:01:10.937412+00:00;0
2025-05-29 14:02:13.165934+00:00;0
2025-05-29 14:03:20.558344+00:00;-2
2025-05-29 14:03:20.558344+00:00;-2
2025-05-29 14:04:22.749389+00:00;-1
2025-05-29 14:05:24.901200+00:00;-1
2025-05-29 14:06:32.280219+00:00;0
2025-05-29 14:06:32.280219+00:00;0
2025-05-29 14:07:34.404439+00:00;0
2025-05-29 14:08:36.531916+00:00;0
2025-05-29 14:09:38.793679+00:00;0
2025-05-29 14:10:41.003138+00:00;0
2025-05-29 14:11:43.175639+00:00;0
2025-05-29 14:12:50.472373+00:00;2
2025-05-29 14:12:50.473365+00:00;2
2025-05-29 14:13:52.609663+00:00;1
2025-05-29 14:14:54.825865+00:00;2
2025-05-29 14:15:56.976341+00:00;2
2025-05-29 14:16:59.146989+00:00;2
2025-05-29 14:18:01.347269+00:00;1
2025-05-29 14:19:03.423174+00:00;1
2025-05-29 14:20:05.762916+00:00;1
2025-05-29 14:21:13.096404+00:00;0
2025-05-29 14:21:13.097403+00:00;0
2025-05-29 14:22:15.250382+00:00;0
2025-05-29 14:23:17.354463+00:00;0
2025-05-29 14:24:19.517109+00:00;0
2025-05-29 14:25:21.673578+00:00;0
2025-05-29 14:26:24.037164+00:00;0
2025-05-29 14:27:26.247627+00:00;0
2025-05-29 14:28:33.637644+00:00;-2
2025-05-29 14:28:33.637644+00:00;-2
2025-05-29 14:29:35.801528+00:00;-1
2025-05-29 14:30:38.069245+00:00;-1
2025-05-29 14:31:40.266388+00:00;-1
2025-05-29 14:32:42.383701+00:00;-1
2025-05-29 14:33:44.519620+00:00;-1
2025-05-29 14:34:46.549949+00:00;-1
2025-05-29 14:35:53.862246+00:00;0
2025-05-29 14:35:53.863257+00:00;0
2025-05-29 14:36:55.978641+00:00;0
2025-05-29 14:38:03.314309+00:00;-2
2025-05-29 14:38:03.314309+00:00;-2
2025-05-29 14:39:05.603861+00:00;-1
2025-05-29 14:40:07.721245+00:00;-1
2025-05-29 14:41:09.952347+00:00;-1
2025-05-29 14:42:12.099349+00:00;-1
2025-05-29 14:43:14.207784+00:00;-1
2025-05-29 14:44:16.409940+00:00;-1
2025-05-29 14:45:18.570149+00:00;-1
2025-05-29 14:46:25.903725+00:00;0
2025-05-29 14:46:25.903725+00:00;0
2025-05-29 14:47:28.024542+00:00;0
2025-05-29 14:48:30.093865+00:00;0
2025-05-29 14:49:32.304972+00:00;0
2025-05-29 14:50:34.464297+00:00;0
2025-05-29 14:51:36.709339+00:00;0
2025-05-29 14:52:38.802350+00:00;0
2025-05-29 14:53:46.309370+00:00;2
2025-05-29 14:53:46.309370+00:00;2
2025-05-29 14:54:48.450097+00:00;1
2025-05-29 14:55:50.577972+00:00;1
2025-05-29 14:56:52.899359+00:00;1
2025-05-29 14:57:55.133790+00:00;1
2025-05-29 14:59:02.427045+00:00;0
2025-05-29 14:59:02.427045+00:00;0
2025-05-29 15:00:04.633764+00:00;0
2025-05-29 15:01:06.754019+00:00;0
2025-05-29 15:02:14.274405+00:00;2
2025-05-29 15:02:14.274405+00:00;2
2025-05-29 15:03:21.585268+00:00;0
2025-05-29 15:03:21.585268+00:00;0
2025-05-29 15:04:23.687538+00:00;0
2025-05-29 15:05:25.928275+00:00;0
2025-05-29 15:06:33.222240+00:00;2
2025-05-29 15:06:33.223239+00:00;2
2025-05-29 15:07:35.431274+00:00;1
2025-05-29 15:08:37.628237+00:00;1
2025-05-29 15:09:39.714333+00:00;1
2025-05-29 15:10:41.915441+00:00;1
2025-05-29 15:11:44.042289+00:00;1
2025-05-29 15:12:46.263362+00:00;1
2025-05-29 15:13:48.424305+00:00;1
2025-05-29 15:14:50.607907+00:00;1
2025-05-29 15:15:52.865724+00:00;1
2025-05-29 15:16:55.003521+00:00;2
2025-05-29 15:17:57.137501+00:00;2
2025-05-29 15:18:59.366873+00:00;1
2025-05-29 15:20:01.524048+00:00;1
2025-05-29 15:21:03.700276+00:00;1
2025-05-29 15:22:10.935346+00:00;0
